code,title,description
11.0998,E-Learning Design and/or Computer Instructional Design.,Any other computer and information sciences and support services course that deals with the topics of e-learning design and/or computer instructional design.
11.1000,"Computer/Information Technology Administration and Management, General.",Any course dealing with general topics of computer/information technology administration and management.
11.1001,Network and System Administration/Administrator.,A course that prepares individuals to manage the computer operations and control the system configurations emanating from a specific site or network hub. Includes instruction in computer hardware and software and applications; local area (LAN) and wide area (WAN) networking; principles of information systems security; disk space and traffic load monitoring; data backup; resource allocation; and setup and takedown procedures.
11.1002,"System, Networking, and local area network (LAN)/wide area network (WAN) Management/Manager.",A course that prepares individuals to oversee and regulate the computer system and performance requirements of an entire organization or network of satellite users. Includes instruction in performance balancing; redundancy; local area and wide area network management; system migration and upgrading; outage control; problem diagnosis and troubleshooting; and system maintenance budgeting and management.
11.1003,Computer and Information Systems Security/Information Assurance.,"A course that prepares individuals to assess the security needs of computer and network systems, recommend safeguard solutions, and manage the implementation and maintenance of security devices, systems, and procedures. Includes instruction in computer architecture, programming, and systems analysis; networking; telecommunications; cryptography; security system design; applicable law and regulations; risk assessment and policy analysis; contingency planning; user access issues; investigation techniques; and troubleshooting."
11.1004,Web/Multimedia Management and Webmaster.,"A course that prepares individuals to develop and maintain web servers and the hosted web pages at one or a group of web sites, and to function as designated webmasters. Includes instruction in computer systems and networks; server installation and maintenance; web page design and editing; information resources management; web policy and procedures; Internet applications of information systems security; user interfacing and usability research; and relevant management and communications skills. Examples include website development; web development; webmaster."
11.1005,Information Technology Project Management.,"A course that prepares individuals to design, develop, and manage information technology projects in a variety of companies and organizations. Includes instruction in principles of project management, risk management, procurement and contract management, information security management, software management, organizational principles and behavior, communications, quality assurance, financial analysis, leadership, and team effectiveness."
11.1006,Computer Support Specialist.,"A course that prepares individuals to provide technical assistance, support, and advice to computer users to help troubleshoot software and hardware problems. Includes instruction in computer concepts, information systems, networking, operating systems, computer hardware, the Internet, software applications, help desk concepts and problem solving, and principles of customer service."
11.1099,"Computer/Information Technology Services Administration and Management, Other.",Any course in computer/information technology services administration and management not listed above.
11.9999,"Computer and Information Sciences and Support Services, Other.",Any course in computer and information sciences and support services not listed above.
12.0301,"Funeral Service and Mortuary Science, General.","A course that generally prepares individuals for careers in the funeral service industry and for licensure as funeral service directors or morticians. Includes instruction in the basic elements of mortuary science and the business, counseling, and operational aspects of funeral service."
12.0302,Funeral Direction/Service.,"A course that prepares individuals for professional licensure as funeral directors and as managers of funeral homes, cemeteries, and related services. Includes instruction in the sociology of death and dying, psychology of grief and grief counseling, history of funeral service, funeral direction, business law, funeral service law, funeral home management, accounting and related computer operations, and funeral services marketing and merchandising."
12.0303,Mortuary Science and Embalming/Embalmer.,"A course that prepares individuals for licensure as embalmers and morticians. Includes instruction in pathogenic microbiology, systematic pathology, thanatochemistry, gross anatomy, clinical mortuary science, embalming, restorative art, applicable laws and regulations, and special services such as cremation and preparations required by specific religious communities. Also mortuary management."
12.0399,"Funeral Service and Mortuary Science, Other.",Any course in funeral service and mortuary science not listed above.
12.0401,"Cosmetology/Cosmetologist, General.","A course that generally prepares individuals to cut, trim, and style scalp, facial, and body hair; apply cosmetic preparations; perform manicures and pedicures; massage the head and extremities; and prepare for practice as licensed cosmetologists in specialized or full-service salons. Includes instruction in hair cutting and styling, manicuring, pedicuring, facial treatments, shampooing, chemical applications, esthetics, shop management, sanitation and safety, customer service, and applicable professional and labor laws and regulations."
12.0402,Barbering/Barber.,"A course that prepares individuals to shave and trim facial/neck hair and beards, cut and dress hair, fit hairpieces, give facial and scalp massages, apply cosmetic treatments, and to prepare for licensure as professional barbers at various levels. Includes instruction in facial shaving; beard and mustache shaping and trimming; shampooing; hair cutting; hair styles and styling art; facial treatments and massage; chemical applications; hair and scalp anatomy and physiology; hairpiece and toupee fitting; equipment operation; health and safety; customer service; and shop business practices."
12.0404,Electrolysis/Electrology and Electrolysis Technician.,"A course that prepares individuals to permanently remove hair from the human scalp, face, and body using specialized charged solid needle probes, and to function as licensed electrologists and electrolysis technicians. Includes instruction in direct current electrolysis, alternating current/high frequency thermolysis, blend/dual modality treatments, equipment theory and operation, safety and sanitation, client evaluation and care, laws and regulations, and business practices."
12.0406,Make-Up Artist/Specialist.,"A course that prepares individuals to professionally apply cosmetic makeup preparations and perform complete and specialized appearance makeovers including hairdressing, wig work, masking, temporary prosthesis applications, cosmetic applications, and related costuming for leisure or for professional stage, camera, clinical, or security purposes. Includes instruction in period and contemporary hairstyling and costuming; wig work and hairpiece application; synthetic hair and masks; cosmetic preparations and treatments; makeup artistry; attachment, removal, and camouflaging of prostheses; health and safety; client consultation and care; pre- and post-production operations; set and crew conduct and relations; script, instruction, and prescription interpretation; labor relations; and business practices."
12.0407,Hair Styling/Stylist and Hair Design.,"A course that prepares individuals to shampoo, cut, style, set, and dress the scalp hair of women and/or men, braid hair, apply hair cosmetics and wigs, and prepare for licensure as professional cosmetologists, hairdressers, and barbers at various levels. Includes instruction in hair design theory and concepts, hair cleaning and shampooing, hair coloring, chemical applications and permanent reconstructions, hair anatomy and physiology, scalp diseases and treatments, wig and hairpiece fitting, hair braiding, customer service, shop management, equipment operation, health and safety, and applicable laws and regulations."
12.0408,Facial Treatment Specialist/Facialist.,"A course that prepares individuals to massage and treat the face, neck, and scalp with chemical and cosmetic preparations, and to function as licensed facial specialists in specialized and full service salons. Includes instruction in facial surface anatomy; skin properties; skin decontamination and infection control; facial massage; facial makeup; facial wrapping; selection and application of creams, lotions, oils, and other chemicals and cosmetics; European and other facial techniques; client evaluation and care, applicable laws and regulations, and business practices."
12.0409,Aesthetician/Esthetician and Skin Care Specialist.,"A course that prepares individuals to cleanse, depilate, massage, and beautify the human body and to function as licensed estheticians and skin care specialists. Includes instruction in skin anatomy, physiology, and health; principles of nutrition; decontamination and infection control; health and safety; facial and body massage; body wrapping and spa treatments; temporary hair removal including waxing and tweezing; color and skin analysis; client consultation and care; applicable laws and regulations; business practices; and sometimes related alternative healing regimens. Examples include waxing; basic aesthetician/esthetician."
12.0410,Nail Technician/Specialist and Manicurist.,"A course that prepares individuals to shape fingernails and toenails, remove unwanted skin and blemishes, apply polish and cosmetics to nails, and function as licensed manicurists or nail technicians/specialists. Includes instruction in manicuring theory; skin anatomy; nail growth, irregularities, and diseases; sterilization and sanitation; equipment and table maintenance; cuticle, blemish, and rough skin removal; nail filing, shaping, and polishing; cream application and extremity massage; nail sculpture and design art; product storage and use; customer service; laws and regulations; and business practices."
12.0411,Permanent Cosmetics/Makeup and Tattooing.,"A course that prepares individuals to prepare and apply permanent markings, color, and cosmetic products to the face and body for aesthetic or clinical purposes; to remove unwanted markings; and to function as licensed permanent makeup artists and tattooists. Includes instruction in client consultation; sterilization and sanitation; skin anatomy, diseases, and disorders; skin preparation and anesthetics; color theory; machine theory and operation; needle selection; applications such as eyebrows, eyeliners, lips, lipliners, beauty marks, and blemish/mark removal; after care; laws and regulations; and business practices."
12.0412,Salon/Beauty Salon Management/Manager.,"A course that prepares cosmetologists, hairstylists, and other personal grooming specialists to manage beauty parlors, shops, and full-service or specialized salons and to prepare for licensure as professional salon owners and operators. Includes instruction in cosmetic services marketing and retailing; advertising and promotion; salon management; the cosmetic and salon supply industries; hiring, supervision, and labor relations; applicable business and professional laws and regulations; professional standards and image; and customer service. Also beauty salon sales."
12.0413,"Cosmetology, Barber/Styling, and Nail Instructor.","A course that prepares cosmetologists, barbers, stylists, nail technicians, and other grooming specialists to teach their specializations in licensed and accredited schools of cosmetology and barbering, and to prepare for licensure as instructors. Includes instruction in cosmetology arts and sciences teaching principles; student learning styles; professional curricula development; instructional planning; instructional methods and aids; student counseling and career assistance; test development; and classroom/clinic management."
12.0414,Master Aesthetician/Esthetician.,"A course that prepares individuals to massage and treat the face, neck, and body with advanced chemical and cosmetic preparations and esthetic medical treatments, and to function as licensed master or medical estheticians in dermatologistsÕ and plastic surgeonsÕ offices as well as in salons and spas. Includes instruction in advanced anatomy and physiology; skin properties and disorders; sanitation and infection control; advanced facial treatments; spa body treatments; advanced extractions; corrective makeup; chemical peels; microdermabrasion; lymphatic drainage and advanced massage techniques; pre- and post-operative esthetic skin care; client/patient evaluation and care; applicable laws and regulations; and business practices."
12.0498,"Cosmetology Biology, Physiology of Hair and/or Anatomy of Scalp.","Any cosmetology and related personal grooming services course that deals with the topics of cosmetology biology, physiology of hair and/or anatomy of scalp."
12.0499,"Cosmetology and Related Personal Grooming Arts, Other.",Any course in cosmetology and related personal grooming services not listed above.
12.0500,"Cooking and Related Culinary Arts, General.","A course that focuses on the general study of the cooking and related culinary arts, and that may prepare individuals for a variety of jobs within the food service industry. Includes instruction in food preparation; cooking techniques; equipment operation and maintenance; sanitation and safety; communication skills; applicable regulations; and principles of food service management."
12.0501,Baking and Pastry Arts/Baker/Pastry Chef.,"A course that prepares individuals to serve as professional bakers and pastry specialists in restaurants or other commercial baking establishments. Includes instruction in bread and pastry making, bread and pastry handling and storage, cake and pastry decorating, baking industry operations, product packaging and marketing operations, and counter display and service."
12.0502,Bartending/Bartender.,"A course that prepares individuals to professionally prepare mixed alcoholic and non-alcoholic beverages and related products and manage bars, lounges, and beverage service operations in the hospitality industry. Includes instruction in mixology, oenology, accounting and cash management, inventory and cellar management, bar and lounge management, applicable laws and regulations, customer service, and labor/employment regulations. Also responsible beverage service."
12.0503,Culinary Arts/Chef Training.,"A course that prepares individuals to provide professional chef and related cooking services in restaurants and other commercial food establishments. Includes instruction in recipe and menu planning, preparing and cooking of foods, supervising and training kitchen assistants, the management of food supplies and kitchen resources, aesthetics of food presentation, and familiarity or mastery of a wide variety of cuisines and culinary techniques."
12.0504,"Restaurant, Culinary, and Catering Management/Manager.","A course that prepares individuals to plan, supervise, and manage food and beverage preparation and service operations, restaurant facilities, and catering services. Includes instruction in food/beverage industry operations, cost control, purchasing and storage, business administration, logistics, personnel management, culinary arts, restaurant and menu planning, executive chef functions, event planning and management, health and safety, insurance, and applicable law and regulations."
12.0505,Food Preparation/Professional Cooking/Kitchen Assistant.,"A course that prepares individuals to serve under the supervision of chefs and other food service professionals as kitchen support staff and commercial food preparation workers. Includes instruction in kitchen organization and operations, sanitation and quality control, basic food preparation and cooking skills, kitchen and kitchen equipment maintenance, and quantity food measurement and monitoring."
12.0506,Meat Cutting/Meat Cutter.,"A course that prepares individuals to receive, cut, and package animal meat products in commercial establishments and to function as licensed meat cutters/butchers. Includes instruction in product recognition for beef, veal, lamb, pork, poultry, and fancy and smoked meats; retail and wholesale cutting and specialty cuts; packaging and counter display; shop safety; meat sanitation, storage and rotation; quality control; meat handling laws and regulations; and customer service."
12.0507,"Food Service, Waiter/Waitress, and Dining Room Management/Manager.","A course that prepares individuals to serve food to customers in formal or informal settings. Includes instruction in the nutritional, sensory, and functional properties of food and its ingredients; food services principles; table and counter services; dining room operations and procedures; service personnel supervision and management; communication skills; business math; safety and sanitation."
12.0508,Institutional Food Workers.,"A course that prepares individuals in production and service used in governmental, commercial or independently owned institutional food establishments and related food industry occupations. Includes instruction in selecting, storing, preparing, and serving food and food products; basic nutrition; sanitation, and food safety; the use and care of commercial equipment; serving techniques; and the operation of institutional food establishments."
12.0509,Culinary Science/Culinology.,"A course that focuses on the blending of food science and the culinary arts and that prepares individuals to work as research chefs and related research and development positions in the food industry. Includes instruction in culinary arts, food chemistry, food safety and quality, food processing, nutrition, and business management."
12.0510,Wine Steward/Sommelier.,"A course that prepares individuals to manage wine selection, purchasing, storage, sales, and service for a variety of establishments in the hospitality industry. Includes instruction in wine production, wine regions of the world, wine tasting, food and wine matching, service techniques, and wine program management."
12.0598,Wines and Spirits.,Any culinary arts and related services course that deals with the topic of wines and spirits.
12.0599,"Culinary Arts and Related Services, Other.",Any course in culinary arts and related services not listed above.
12.9999,"Personal and Culinary Services, Other.",Any course in personal and culinary services not listed above.
13.0101,"Education, General.",A course that focuses on the general theory and practice of learning and teaching; the basic principles of educational psychology; the art of teaching; the planning and administration of educational activities; school safety and health issues; and the social foundations of education. Also problems in education.
13.0198,"Foundations of Education Theory and Practice, Issues in Public School System and/or the Private School System.","Any general education course that deals with the topics of the foundations of education theory and practice, issues in the public school system and/or the private school system."
13.0201,Bilingual and Multilingual Education.,"A course that focuses on the design and provision of teaching and other educational services to bilingual/bicultural children or adults, and/or the design and implementation of educational programs having the goal of producing bilingual/bicultural individuals. Includes preparation to serve as teachers and administrators in bilingual/bicultural education programs."
13.0202,Multicultural Education.,"A course that focuses on the design, and implementation of instructional and advising services for culturally diverse learning populations. Includes instruction in cultural diversity, at-risk populations, multilingual and English as a Second Language (ESL) education, program and curriculum design, instructional technology, information resources, Limited English Proficiency (LEP) and minority education strategies, counseling and communicating with multicultural populations, law and regulations, and applications to specific cultural groups, educational services, and research issues."
13.0203,Indian/Native American Education.,"A course that focuses on the design and implementation of instructional and advising services for American Indian, Alaska Native, and Hawaiian Native students at various learning levels and that prepares individuals to perform teaching and administrative functions in Tribal/First Nation schools. Includes instruction in the cultural traditions and social patterns, history and politics, learning styles and issues, curriculum design, Limited English Proficiency (LEP) and minority education strategies, counseling techniques and social issues, rural education services, distance education, adult education techniques, school administration, applicable laws and regulations, and research issues."
13.0299,"Bilingual, Multilingual, and Multicultural Education, Other.","Any course in bilingual, multilingual, and multicultural Education not listed above."
13.0301,Curriculum and Instruction.,"A course that focuses on the curriculum and related instructional processes and tools, and that may prepare individuals to serve as professional curriculum specialists. Includes instruction in curriculum theory, curriculum design and planning, instructional material design and evaluation, curriculum evaluation, and applications to specific subject matter, programs or educational levels."
13.0401,"Educational Leadership and Administration, General.","A course that focuses on the general principles and techniques of administering a wide variety of schools and other educational organizations and facilities, supervising educational personnel at the school or staff level, and that may prepare individuals as general administrators and supervisors. Examples include educational leadership and policy; educational administration and policy; K-12 education leadership; K-12 education administration."
13.0402,Administration of Special Education.,"A course that prepares individuals to plan, supervise, and manage programs for exceptional students and their parents. Includes instruction in special education theory and practice, special education program development, evaluation and assessment in special education, state and federal law and regulations, managing individual education plans, problems of low- and high- disability students, mainstreaming, special education curricula, staff management, parent education, communications and community relations, budgeting, and professional standards and ethics."
13.0403,Adult and Continuing Education Administration.,"A course that focuses on the principles and techniques of administering programs and facilities designed to serve the basic education needs of undereducated adults, or the continuing education needs of adults seeking further or specialized instruction, and that prepares individuals to serve as administrators of such programs. Includes instruction in adult education principles, program and facilities planning, personnel management, community and client relations, budgeting and administration, professional standards, and applicable laws and policies."
13.0404,"Educational, Instructional, and Curriculum Supervision.","A course that prepares individuals to supervise instructional and support personnel at the school building, facility or staff level. Includes instruction in the principles of staffing and organization, the supervision of learning activities, personnel relations, administrative duties related to departmental or unit management, and specific applications to various educational settings and curricula."
13.0406,Higher Education/Higher Education Administration.,"A course that focuses on the principles and practice of administration in four-year colleges, universities and higher education systems, the study of higher education as an object of applied research, and which may prepare individuals to function as administrators in such settings. Includes instruction in higher education economics and finance; policy and planning studies; curriculum; faculty and labor relations; higher education law; college student services; research on higher education; institutional research; marketing and promotion; and issues of evaluation, accountability and philosophy. Also class management. Examples include higher education policy."
13.0407,Community College Education.,"A course that focuses on the principles and techniques of administering community and junior colleges and related postsecondary systems, the study of community and junior colleges as objects of applied research, and that may prepare individuals to function as administrators in such settings. Includes instruction in community and junior college finance; policy and planning studies; curriculum; faculty and labor relations; higher education law; student services; research on community and junior colleges; institutional research; marketing and promotion; and issues of evaluation, accountability and philosophy."
13.0408,Elementary and Middle School Administration/Principalship.,"A course that focuses on educational administration at the elementary and middle school (K-7) levels, and prepares individuals to serve as principals and masters of elementary and middle schools. Includes instruction in elementary and/or middle school education, program and facilities planning, budgeting and administration, public relations, human resources management, childhood and pre-adolescent growth and development, counseling skills, applicable law and regulations, school safety, policy studies, and professional standards and ethics."
13.0409,Secondary School Administration/Principalship.,"A course that focuses on educational administration at the junior high, secondary, or senior high school (7-12) levels, and prepares individuals to serve as principals and masters of secondary schools. Includes instruction in secondary school education, program and facilities planning, budgeting and administration, public relations, human resources management, adolescent growth and development, counseling skills, applicable law and regulations, school safety, policy studies, and professional standards and ethics."
13.0410,Urban Education and Leadership.,"A course that focuses on issues and problems specific to the educational needs of populations and communities located in metropolitan, inner city, and related areas and prepares individuals to provide educational services and administrative leadership in urban contexts. Includes instruction in multicultural education, at-risk studies, urban sociology, multilingual education, urban studies and planning, human services, health services and nutrition, cross-cultural communication, diversity studies, safety and security, and urban educational administration and leadership."
13.0411,Superintendency and Educational System Administration.,"A course that focuses on leading and managing multi-school educational systems and school districts, and prepares individuals to serve as systems administrators and district superintendents. Includes instruction in educational administration; education of students at various levels; system planning and budgeting; educational policy; educational law and regulations; public relations; professional standards and ethics; and applications to specific issues, cultural context, and geographic locales."
13.0498,"Education and Law, School Buildings and Grounds and/or School Finance.","Any education administration and supervision course that deals with the topics of education and law, school buildings and grounds and/or school finance."
13.0499,"Educational Administration and Supervision, Other.",Any course in education administration and supervision not listed above.
13.0501,Educational/Instructional Technology.,"A course that focuses on integrating technology into educational curricula. Includes instruction in foundations of educational technology, computer applications, utilizing technology for assessment, multimedia instruction, web-based instruction, distance education, and designing and producing educational software and materials. Also media for elementary schools and/or media for secondary schools."
13.0601,Educational Evaluation and Research.,"A course that focuses on the principles and procedures for generating information about educational programs, personnel and methods, and the analysis of such information for planning purposes. Includes instruction in evaluation theory, evaluation research design and planning, administering evaluations and related data collection activities, data reporting requirements, data analysis and interpretation, and related economic and policy issues."
13.0603,Educational Statistics and Research Methods.,"A course that focuses on the application of statistics to the analysis and solution of educational research problems, and the development of technical designs for research studies. Includes instruction in mathematical statistics, research design, computer applications, instrument design, research methodologies, and applications to research problems in specific education subjects."
13.0604,"Educational Assessment, Testing, and Measurement.","A course that focuses on the principles and procedures for designing, developing, implementing and evaluating tests and other mechanisms used to measure learning, evaluate student progress, and assess the performance of specific teaching tools, strategies and curricula. Includes instruction in psychometric measurement, instrument design, test implementation techniques, research evaluation, data reporting requirements, and data analysis and interpretation. Also individual assessment."
13.0607,Learning Sciences.,"A course that focuses on the multiple aspects of learning in different environments, including specific aspects of the content to be mastered, cognitive aspects of the student, the instructional environment and materials, the preparation and activities of the instructor, socio-cultural and linguistic components, and assessment outcomes. Includes instruction in the social, organizational, and cultural dynamics of learning; learning and cognition; learning strategies; educational psychology; educational testing and measurement; instructional design and technology; and statistical design of educational research."
13.0699,"Educational Assessment, Evaluation, and Research, Other.","Any course in educational evaluation, research and statistics not listed above."
13.0701,International and Comparative Education.,"A course that focuses on the educational phenomena, practices and institutions within different societies and states in comparative perspective, and the study of international educational issues. Includes instruction in comparative research methods, country- or area-specific studies, cross-national studies of learning and teaching styles, international educational policy and development, and analyses of educational migration patterns and experiences."
13.0901,Social and Philosophical Foundations of Education.,"A course that focuses on the systematic study of education as a social and cultural institution, and the educational process as an object of humanistic inquiry. Includes instruction in such subjects as the philosophy of education, history of education, educational literature, educational anthropology, sociology of education, economics and politics of education, educational policy studies, and studies of education in relation to specific populations, issues, social phenomena, and types of work. Also education and society and/or education policy."
13.1001,"Special Education and Teaching, General.","A general course that focuses on the design and provision of teaching and other educational services to children or adults with special learning needs or disabilities, and that may prepare individuals to function as special education teachers. Includes instruction in diagnosing learning disabilities, developing individual education plans, teaching and supervising special education students, special education counseling, and applicable laws and policies."
13.1003,"Education/Teaching of Individuals with Hearing Impairments, Including Deafness.","A course that focuses on the design of educational services for children or adults with hearing impairments including deafness which adversely affect their educational performance, and that may prepare individuals to teach such students. Includes instruction in identifying students with hearing impairments, including deafness, developing individual education plans, teaching and supervising hearing-impaired students, counseling, and applicable laws and policies."
13.1004,Education/Teaching of the Gifted and Talented.,"A course that focuses on the design of educational services for children or adults exhibiting exceptional intellectual, psychomotor or artistic talent or potential, or who exhibit exceptional maturity or social leadership talents, and that may prepare individuals to teach such students. Includes instruction in identifying gifted and talented students, developing individual education plans, teaching and supervising gifted and talented students, counseling, and applicable laws and policies."
13.1005,Education/Teaching of Individuals with Emotional Disturbances.,"A course that focuses on the design of educational services for children or adults with emotional conditions which adversely affect their educational performance and that may prepare individuals to teach such students. Includes instruction in identifying students with emotional disturbances, developing individual education plans, teaching and supervising emotionally disturbed students, counseling, and applicable laws and policies."
13.1006,Education/Teaching of Individuals with Mental Retardation.,"A course that focuses on the design of educational services for children or adults with mental disabilities which adversely affect their educational performance and that may prepare individuals to teach such students. Includes instruction in identifying students with mental retardation, developing individual education plans, teaching and supervising mentally handicapped students, counseling, and applicable laws and policies."
13.1007,Education/Teaching of Individuals with Multiple Disabilities.,"A course that focuses on the design of educational services for children or adults with multiple disabilities which adversely affect their educational performance and that may prepare individuals to teach such students. Includes instruction in identifying students with multiple disabilities, developing individual education plans, teaching and supervising multiple handicapped students, counseling, and applicable laws and policies."
13.1008,Education/Teaching of Individuals with Orthopedic and Other Physical Health Impairments.,"A course that focuses on the design of educational services for children or adults with orthopedic and other health impairments which adversely affect their educational performance and that may prepare individuals to teach such students. Includes instruction in identifying physically disabled students, developing individual education plans, teaching and supervising students with orthopedic and other health impairments, counseling, and applicable laws and policies."
13.1009,"Education/Teaching of Individuals with Vision Impairments, Including Blindness.","A course that focuses on the design of educational services for children or adults with visual disabilities which adversely affect their educational performance and that may prepare individuals to teach such students. Includes instruction in identifying students with visual impairments, developing individual education plans, teaching and supervising blind or visually handicapped students, counseling, and applicable laws and policies."
13.1011,Education/Teaching of Individuals with Specific Learning Disabilities.,"A course that focuses on the design of educational services for children or adults with specific learning disabilities which adversely affect their educational performance and that may prepare individuals to teach such students. Includes instruction in identifying students with specific learning disabilities, developing individual education plans, teaching and supervising students with specific learning disabilities, counseling, and applicable laws and policies. Also reading disabilities."
13.1012,Education/Teaching of Individuals with Speech or Language Impairments.,"A course that focuses on the study and design of educational services for children or adults with speech and language impairments which adversely affect their educational performance and that may prepare individuals to teach such students. Includes instruction in identifying students with speech and language impairments, developing individual education plans, teaching and supervising students with speech disabilities, counseling, and applicable laws and policies."
13.1013,Education/Teaching of Individuals with Autism.,"A course that focuses on the design of educational services for children or adults with autism, and that prepares individuals to teach such students. Includes instruction in identifying students with autism, developing individual education plans, teaching and supervising autistic students, counseling, and applicable laws and policies."
13.1014,Education/Teaching of Individuals Who are Developmentally Delayed.,"A course that focuses on the design of educational services for children or adults who exhibit slow social, physical, cognitive, or emotional growth patterns related to age, or a combination of such factors that affect learning, and that prepares individuals to teach such students. Includes instruction in identification of developmental delay patterns, developing individual education plans, teaching and supervising developmentally delayed students, counseling, and applicable laws and policies."
13.1015,Education/Teaching of Individuals in Early Childhood Special Education Programs.,"A course that focuses on the design and provision of teaching and other educational services to infant and pre-school age children with special learning needs or disabilities, and that prepares individuals to teach such students. Includes instruction in diagnosing learning disabilities, developing individual education plans, teaching and supervising special education students, special education counseling, and applicable laws and policies."
13.1016,Education/Teaching of Individuals with Traumatic Brain Injuries.,"A course that focuses on the design of educational services for children or adults who are surviving and recovering from brain and brain stem injuries affecting their cognitive, perceptive, and motor functions. Includes instruction in neurophysiology and neuropathology; speech, other sensory, and motor pathologies; emotional and cognitive disabilities; physical and occupational rehabilitation techniques; developing individual education plans, teaching and supervising brain-injured students, counseling, and applicable laws and policies."
13.1017,Education/Teaching of Individuals in Elementary Special Education Programs.,"A course that focuses on the design and provision of teaching and other educational services to children with special learning needs or disabilities who are in the elementary grades. Includes instruction in diagnosing learning disabilities; developing individual education plans; curriculum development, instructional strategies, and classroom management for elementary special education; and teaching elementary education subject matter."
13.1018,Education/Teaching of Individuals in Junior High/Middle School Special Education Programs.,"A course that focuses on the design and provision of teaching and other educational services to children with special learning needs or disabilities who are in junior high/middle school. Includes instruction in diagnosing learning disabilities; developing individual education plans; curriculum development, instructional strategies, and classroom management for middle school special education; and principles of middle school instruction in specific subjects."
13.1019,Education/Teaching of Individuals in Secondary Special Education Programs.,"A course that focuses on the design and provision of teaching and other educational services to children with special learning needs or disabilities who are in the secondary grades. Includes instruction in diagnosing learning disabilities; developing individual education plans; curriculum development, instructional strategies, and classroom management for secondary grades special education; content, methods, and modifications in specific subject areas; issues in vocational education; and promoting successful transitions to postsecondary settings."
13.1098,Mainstreaming.,Any special education and teaching course that deals with the topic of mainstreaming.
13.1099,"Special Education and Teaching, Other.",Any course in special education not listed above.
13.1101,Counselor Education/School Counseling and Guidance Services.,"A course that prepares individuals to apply the theory and principles of guidance and counseling to the provision of support for the personal, social, educational, and vocational development of students, and the organizing of guidance services within elementary, middle and secondary educational institutions. Includes instruction in legal and professional requirements, therapeutic counselor intervention, vocational counseling, and related sociological and psychological foundations."
13.1102,College Student Counseling and Personnel Services.,"A course that focuses on the organization and provision of counseling, referral, assistance and administrative services to students in postsecondary educational institutions and adult education facilities, and that may prepare individuals to function as professional counselors in such settings. Includes instruction in applicable laws and policies, residential counseling and services, vocational counseling and placement services, remedial skills counseling, and therapeutic counselor intervention. Also peer counseling and/or residence hall counseling."
13.1199,"Student Counseling and Personnel Services, Other.",Any course in student counseling and personnel services not listed above.
13.1201,Adult and Continuing Education and Teaching.,"A course that prepares individuals to teach adult students in various settings, including basic and remedial education programs, continuing education programs, and programs designed to develop or upgrade specific employment-related knowledge and skills. Also activities for elementary school, books for elementary school, materials for elementary school and/or playground activities."
13.1202,Elementary Education and Teaching.,"A course that prepares individuals to teach students in the elementary grades, which may include kindergarten through grade eight, depending on the school system or state regulations. Includes preparation to teach all elementary education subject matter."
13.1203,Junior High/Intermediate/Middle School Education and Teaching.,"A course that prepares individuals to teach students in the middle, intermediate or junior high grades, which may include grades four through nine by regulation."
13.1205,Secondary Education and Teaching.,"A course that prepares individuals to teach students in the secondary grades, which may include grades seven through twelve, depending on the school system or state regulations. May include preparation to teach a comprehensive curriculum or specific subject matter."
13.1206,"Teacher Education, Multiple Levels.","A course that prepares individuals to teach students at more than one educational level, such as a combined program in elementary/secondary, early childhood/elementary, elementary/middle school, or junior high/high school teacher education."
13.1207,Montessori Teacher Education.,A course that prepares individuals to teach students at various grade levels according to the pedagogical principles and methods developed by Maria Montessori and her followers.
13.1208,Waldorf/Steiner Teacher Education.,A course that prepares individuals to teach students at various grade levels according to the pedagogical principles and methods developed by Rudolf Steiner and his followers.
